boot,minute,raw,pct
4,693,1,2014,78.91
4,694,1,2016,78.85
4,695,1,2016,78.85
4,696,1,2020,78.80
4,697,1,2018,78.79
4,698,1,2016,78.82
4,699,1,2016,78.80
4,700,1,2020,78.80
4,701,1,2016,78.84
4,702,1,2016,78.84
4,703,1,2016,78.83
4,704,1,2014,78.86
4,705,1,2022,78.86
4,706,1,2012,78.86
4,707,1,2016,78.86
4,708,1,2016,78.84
4,709,1,2018,78.84
4,710,1,2014,78.86
4,711,1,2016,78.85
4,712,1,2016,78.85
4,713,1,2018,78.85
4,714,1,2014,78.85
4,715,1,2018,78.84
4,716,1,2018,78.86
4,717,1,2018,78.85
4,718,1,2018,78.85
4,719,1,2016,78.85
4,720,1,2016,78.85
4,721,1,2014,78.89
4,722,1,2016,78.93
4,723,1,2014,78.91
4,724,1,2014,78.90
4,725,1,2016,78.91
4,726,1,2014,78.92
4,727,1,2016,78.93
4,728,1,2014,78.91
4,729,1,2012,78.92
4,730,1,2018,78.90
4,731,1,2016,78.94
4,732,1,2014,78.90
4,733,1,2014,78.95
4,734,1,2014,78.96
4,735,1,2010,78.95
4,736,1,2014,78.96
4,737,1,2014,78.94
4,738,1,2014,78.95
4,739,1,2016,78.99
4,740,1,2012,78.97
4,741,1,2014,78.98
4,742,1,2012,78.97
4,743,1,2010,78.95
4,744,1,2016,78.93
4,745,1,2016,78.92
4,746,1,2014,78.93
4,747,1,2014,78.94
4,748,1,2014,78.92
4,749,1,2014,78.91
4,750,1,2014,78.93
4,751,1,2014,78.94
4,752,1,2012,78.94
4,753,1,2016,78.93
4,754,1,2014,78.92
4,755,1,2014,78.92
4,756,1,2014,78.92
4,757,1,2014,78.91
4,758,1,2014,78.91
4,759,1,2014,78.90
4,760,1,2010,78.93
4,761,1,2014,78.92
4,762,1,2014,78.89
4,763,1,2016,78.88
4,764,1,2014,78.89
4,765,1,2016,78.91
4,766,1,2016,78.91
4,767,1,2016,78.93
4,768,1,2014,78.92
4,769,1,2014,78.91
4,770,1,2016,78.89
4,771,1,2016,78.89
4,772,1,2018,78.90
4,773,1,2016,78.88
4,774,1,2018,78.86
4,775,1,2014,78.86
4,776,1,2014,78.88
4,777,1,2016,78.88
4,778,1,2016,78.88
4,779,1,2014,78.89
4,780,1,2016,78.91
4,781,1,2016,78.90
4,782,1,2016,78.89
4,783,1,2016,78.88
4,784,1,2016,78.88
4,785,1,2016,78.89
4,786,1,2016,78.87
4,787,1,2016,78.88
4,788,1,2014,78.87
4,789,1,2016,78.88
4,790,1,2016,78.90
4,791,1,2016,78.89
4,792,1,2016,78.89
4,793,1,2016,78.90
4,794,1,2014,78.91
4,795,1,2016,78.89
4,796,1,2016,78.88
4,797,1,2018,78.85
4,798,1,2016,78.86
4,799,1,2016,78.87
4,800,1,2016,78.88
4,801,1,2014,78.86
4,802,1,2016,78.86
4,803,1,2014,78.87
4,804,1,2016,78.86
4,805,1,2016,78.85
4,806,1,2016,78.84
4,807,1,2014,78.86
4,808,1,2018,78.86
4,809,1,2018,78.87
4,810,1,2016,78.86
4,811,1,2016,78.84
4,812,1,2018,78.84
4,813,1,2016,78.85
4,814,1,2016,78.85
4,815,1,2016,78.86
4,816,1,2016,78.87
4,817,1,2016,78.88
4,818,1,2014,78.89
4,819,1,2014,78.92
4,820,1,2014,78.90
4,821,1,2014,78.90
4,822,1,2016,78.89
4,823,1,2014,78.91
4,824,1,2016,78.90
4,825,1,2016,78.91
4,826,1,2012,78.91
4,827,1,2014,78.91
4,828,1,2014,78.94
4,829,1,2014,78.94
4,830,1,2016,78.95
4,831,1,2014,78.94
4,832,1,2014,78.94
4,833,1,2016,78.92
4,834,1,2014,78.91
4,835,1,2016,78.89
4,836,1,2016,78.90
4,837,1,2014,78.88
4,838,1,2016,78.87
4,839,1,2014,78.87
4,840,1,2014,78.87
4,841,1,2018,78.88
4,842,1,2016,78.86
4,843,1,2020,78.84
4,844,1,2016,78.84
4,845,1,2016,78.83
4,846,1,2016,78.84
4,847,1,2016,78.85
4,848,1,2016,78.85
4,849,1,2018,78.83
4,850,1,2016,78.83
4,851,1,2016,78.82
4,852,1,2016,78.90
4,853,1,2016,78.86
4,854,1,2014,78.86
4,855,1,2016,78.87
5,856,1,1990,79.97
5,857,1,1990,79.92
5,858,1,1992,79.90
5,859,1,1994,79.91
5,860,1,1992,79.88
5,861,1,1996,79.91
5,862,1,1992,79.93
5,863,1,1992,79.94
5,864,1,1994,79.93
5,865,1,1992,79.92
5,866,1,1994,79.90
5,867,1,1994,79.89
5,868,1,1992,79.89
5,869,1,1996,79.89
5,870,1,1994,79.91
